element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary,config
O,5.0,1.0166666666666666,0.0,0.1,2.35,2.63,-0.2799999999999998,damage-before-nonreturn,6.95606597391249,14.957301751145298,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,5.0,1.1777777777777778,0.0,0.1,2.14,2.46,-0.31999999999999984,damage-before-nonreturn,7.633810332359124,19.209001418529493,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,5.0,1.3388888888888888,0.0,0.1,1.93,2.2800000000000002,-0.3500000000000003,damage-before-nonreturn,8.252085954628875,23.660727233602685,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
O,5.0,1.5,0.0,0.1,1.74,2.11,-0.3699999999999999,damage-before-nonreturn,8.814665807977214,28.228896248440495,1.8281943454140903,3.4663242049803253,"k=0.0,th=0.1"
S,0.1,0.05,0.0,0.1,,,,no-transition,0.01244558104743201,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,0.21111111111111108,0.0,0.1,,,,no-transition,0.04015767947868247,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,0.3722222222222222,0.0,0.1,,,,no-transition,0.057869358481306914,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,0.5333333333333333,0.0,0.1,,,,no-transition,0.07017306660718682,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,0.6944444444444444,0.0,0.1,,,,no-transition,0.07913886108614047,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,0.8555555555555555,0.0,0.1,,,,no-transition,0.08589271330312426,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,1.0166666666666666,0.0,0.1,,,,no-transition,0.09110564431310059,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,1.1777777777777778,0.0,0.1,,,,no-transition,0.09519994657358705,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,1.3388888888888888,0.0,0.1,,,,no-transition,0.0984545033949221,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.1,1.5,0.0,0.1,,,,no-transition,0.1010693258712501,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,0.05,0.0,0.1,,,,no-transition,0.08044089192602821,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,0.21111111111111108,0.0,0.1,,,,no-transition,0.26445440712147755,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,0.3722222222222222,0.0,0.1,,,,no-transition,0.388749688189878,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,0.5333333333333333,0.0,0.1,,,,no-transition,0.4800887551974444,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,0.6944444444444444,0.0,0.1,,,,no-transition,0.550360369001497,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,0.8555555555555555,0.0,0.1,,,,no-transition,0.6060699888201218,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,1.0166666666666666,0.0,0.1,,,,no-transition,0.651185784887599,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,1.1777777777777778,0.0,0.1,,,,no-transition,0.6882232304628156,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,0.6444444444444445,1.3388888888888888,0.0,0.1,,,,no-transition,0.7188940667369103,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
